title,description,date,url
"ЮНЕСКО допоможе провести археологічні дослідження на територіях, які постраждали через підрив росіянами Каховської ГЕС","5 серпня у МКІП відбулась зустріч представників Міністерства культури та інформаційної політики України, бюро ЮНЕСКО в Україні, Інституту археології України та Національного заповідника «Хортиця».","07 Серпня 2024, 10:14",https://kakhovka.rayon.in.ua/news/729967-yunesko-dopomozhe-provesti-arkheologichni-doslidzhennya-na-teritoriyakh-yaki-postrazhdali-cherez-pidriv-rosiyanami-kakhovskoi-ges
В Україні розширили дані моніторингу якості води: що нового,На мапі «Моніторинг та екологічна оцінка водних ресурсів» на ЕкоЗагрозі  у режимі реального часу тепер відображаються дані з понад 570 пунктів моніторингу.,"07 Серпня 2024, 10:10",https://eco.rayon.in.ua/news/729932-v-ukraini-rozshirili-dani-monitoringu-yakosti-vodi-shcho-novogo
"У МОЗ розповіли, як може зашкодити неправильне лікування","Напевно, немає людини, яка б жодного разу за своє життя не чула про те, що самолікування шкідливе для здоровʼя","07 Серпня 2024, 10:06",https://medicine.rayon.in.ua/news/729878-u-moz-rozpovili-yak-mozhe-zashkoditi-nepravilne-likuvannya
Документальний фільм про телефонні розмови російських військових вийде в прокат у серпні,"Світова прем’єра стрічки відбулась на Берлінському міжнародному кінофестивалі, де вона отримала Спеціальну відзнаку від екуменічного журі та Спеціальну відзнаку від журі Amnesty International у програмі Forum.","07 Серпня 2024, 10:05",https://kultura.rayon.in.ua/news/729957-dokumentalniy-film-pro-telefonni-rozmovi-rosiyskikh-viyskovikh-viyde-v-prokat-u-serpni
Волинська веслувальниця Марія Повх стартує на Олімпійських іграх: коли вболівати за спортсменку,"12 змагального дня на Олімпійських іграх у Парижі стартує першість у байдарці-одиночці (жінки, дистанція 500 м).","07 Серпня 2024, 10:02",https://sport.rayon.in.ua/news/729965-volinska-vesluvalnitsya-mariya-povkh-startue-na-olimpiyskikh-igrakh-koli-vbolivati-za-sportsmenku
У Мукачеві потяг збив 15-річного підлітка: розпочали розслідування,Поліцейські Мукачева встановлюють обставини загибелі підлітка на залізниці,"07 Серпня 2024, 10:00",https://mukachevo.rayon.in.ua/news/729964-u-mukachevi-potyag-zbiv-15-richnogo-pidlitka-rozpochali-rozsliduvannya
В Одесі дівчина намагалася скоїти самогубство,"Впродовж 6 серпня сталося 38 пожеж: по місту Одеса – 7, по області – 31.","07 Серпня 2024, 10:00",https://odesa.rayon.in.ua/news/729963-v-odesi-divchina-namagalasya-skoiti-samogubstvo
"На Рівненщині в останню путь провели нацгвардійця, який помер під час служби",У Вараші попрощались з кулеметником Національної гвардії України Іваном Чумаком.,"07 Серпня 2024, 09:42",https://varash.rayon.in.ua/news/729907-u-varashi-v-ostannyu-put-proveli-natsgvardiytsya-ivana-chumaka
У Володимирі просять створити у місті комунальну службу знайомств,На платформі електронної демократії EDEM 7 серпня зареєстрували петицію «Про створення комунальної служби знайомств».,"07 Серпня 2024, 09:30",https://volodymyr.rayon.in.ua/news/729946-u-volodimiri-prosyat-stvoriti-u-misti-komunalnu-sluzhbu-znayomstv
Російські війська обстріляли дев'ять міст та сіл Херсонщини,"Під російськими вогнем та авіаударами 6 серпня 2024 року опинилися Зимівник, Білозерка, Антонівка, Станіслав, Берислав, Золота Балка, Дудчани, Томарине та Херсон.","07 Серпня 2024, 09:23",https://kherson.rayon.in.ua/news/729935-rosiyski-viyska-obstrilyali-devyat-mist-ta-sil-khersonshchini
Поблизу села на Волині шукали заблукалу пенсіонерку,Ковельські рятувальники провели пошукові роботи та віднайшли заблукалу жінку.,"07 Серпня 2024, 09:19",https://kowel.rayon.in.ua/news/729939-poblizu-sela-kashivka-shukali-zablukalu-pensionerku
"Україна претендує на медалі в естафетній ході, жіночій боротьбі та боксі: розклад 12 дня Олімпійських ігор",12 змагального дня Олімпійських ігор у Парижі представники національної збірної України будуть змагатися у шести видах спорту.,"07 Серпня 2024, 09:17",https://sport.rayon.in.ua/news/729938-ukraina-pretendue-na-medali-v-estafetniy-khodi-zhinochiy-borotbi-ta-boksi-rozklad-12-dnya-olimpiyskikh-igor
"На Миколаївщині загинув чоловік, який розбирав протитанкову гранату",49-річний мешканець одного з сіл Первомайської громади намагався вдома розібрати вибухонебезпечний предмет. Боєприпас вибухнув у руках.,"07 Серпня 2024, 09:15",https://bug.rayon.in.ua/news/729940-na-pervomayshchini-zaginuv-cholovik-yakiy-rozbirav-protitankovu-granatu
У 130 закладах «первинки» триває підготовка до встановлення сонячних станцій,У 130 закладах первинної медичної допомоги в різних областях України триває процедура підготовки лікарень до встановлення фотовольтаїчних електростанцій.,"07 Серпня 2024, 09:13",https://medicine.rayon.in.ua/news/729870-u-130-zakladakh-pervinki-trivae-pidgotovka-do-vstanovlennya-sonyachnikh-stantsiy
"136 бойових зіткнень відбулося минулої доби на фронті, – Генштаб",Розпочалася вісімсот дев’яносто шоста доба широкомасштабної збройної агресії Російської Федерації проти України.,"07 Серпня 2024, 09:10",https://rayon.in.ua/news/729927-136-boyovikh-zitknen-vidbulosya-minuloi-dobi-na-fronti-genshtab
"В Новій Каховці помер Вардгес Степанян, який прислуговував окупантам та був «депутатом» від росіян","Степанян фігурує в базі «Миротворець», втім, офіційної підозри у державній зраді не мав.","07 Серпня 2024, 09:04",https://kakhovka.rayon.in.ua/news/729923-v-noviy-kakhovtsi-pomer-vardges-stepanyan-yakiy-prislugovuvav-okupantam-ta-buv-deputatom-vid-rosiyan
Закарпатський муздрамтеатр створює безбар'єрний доступ для людей з інвалідністю,"Триває підготовка до грантової вистави «Гра в правду – вистава, що змінить світ» в рамках програми «Культура без бар'єрів».","07 Серпня 2024, 09:00",https://kultura.rayon.in.ua/news/729879-zakarpatskiy-muzdramteatr-stvoryue-bezbarerniy-dostup-dlya-lyudey-z-invalidnistyu
Освітянка з Генічеського району отримала вирок за колаборацію з ворогом,"Окрім тюремного вироку, їй заборонено протягом 15 років обіймати посади в органах влади та закладах освіти","07 Серпня 2024, 08:48",https://henichesk.rayon.in.ua/news/729919-osvityanka-z-genicheskogo-rayonu-otrimala-virok-za-kolaboratsiyu-z-vorogom
