title,description,date,url
У Ратнівській лікарні затвердили платні послуги,У 2023 році Ратнівська центральна районна лікарня надаватиме низку послуг на платній основі.,"03 Січня 2023, 14:43",https://medicine.rayon.in.ua/news/563731-u-ratnivskiy-likarni-zatverdili-platni-poslugi
На Дубенщині у новорічну ніч на світ з’явилися троє маленьких українців,"Так, у перший день Нового 2023 року жителів Дубенщини побільшало:  на світ з'явилось троє немовлят –  два хлопчики та дівчинка","03 Січня 2023, 14:28",https://dubno.rayon.in.ua/news/563692-na-dubenshchini-u-novorichnu-nich-na-svit-zyavilisya-troe-malenkikh-ukraintsiv
"Понад вісім років за ґратами проведе нововолинець, який під час сварки зарізав товариша","Суд визнав 50-річного жителя Нововолинська винним у заподіянні знайомому тяжких тілесних ушкоджень, що спричинили його смерть.","03 Січня 2023, 13:35",https://ivanychi.rayon.in.ua/news/563734-ponad-visim-rokiv-za-gratami-provede-novovolinets-yakiy-pid-chas-svarki-zarizav-tovarisha
"Міський голова зустрівся з лучанкою, яка понад пів року перебувала в російському полоні","Міський голова Луцька Ігор Поліщук зустрівся з лучанкою Людмилою Кравчук, яка понад півроку перебувала у російському полоні.","03 Січня 2023, 13:35",https://lutsk.rayon.in.ua/news/563721-miskiy-golova-zustrivsya-z-luchankoyu-yaka-ponad-piv-roku-perebuvala-v-rosiyskomu-poloni
Млинівчанина нагородили за проявлену мужність  під час рятування людини,Рятувальники Дубенщини нагородили чоловіка подякою та подарунком,"03 Січня 2023, 13:20",https://dubno.rayon.in.ua/news/563666-mlinivchanina-nagorodili-za-proyavlenu-muzhnist-pid-chas-ryatuvannya-lyudini
На Волині проти лікаря відкрили кримінал через смерть пацієнта,На Волині проти лікаря відкрили кримінал через смерть пацієнта,"03 Січня 2023, 13:19",https://medicine.rayon.in.ua/news/563715-na-volini-proti-likarya-vidkrili-kriminal-cherez-smert-patsienta
У селі неподалік Луцька чоловік хотів отруїтися вихлопними газами: його врятував поліцейський,До поліцейського офіцера Заборольської громади звернулася жителька Боголюб.,"03 Січня 2023, 13:08",https://lutsk.rayon.in.ua/news/563711-u-bogolyubakh-cholovik-khotiv-otruitisya-vikhlopnimi-gazami-yogo-vryatuvav-politseyskiy
Захисникам із Кореччини збирають кошти на автомобіль та дрони,"За ініціативи командира Корецької роти охорони відкрили офіційний збір коштів для воїнів в Бахмуті, яким потрібні дрони, і для 25 бригади, якій потрібний автомобіль. Більшість солдатів там із Кореччини","03 Січня 2023, 12:59",https://korets.rayon.in.ua/news/563706-zakhisnikam-iz-korechchini-zbirayut-koshti-na-avtomobil-ta-droni
У Нововолинську помер відомий журналіст з Херсонщини,"Перестало битися серце знаного українського журналіста Сергія Яновського, власкора газети «Голос України» в Херсоні, який останні місяці свого життя прожив у Нововолинську.","03 Січня 2023, 12:30",https://ivanychi.rayon.in.ua/news/563720-u-novovolinsku-pomer-vidomiy-zhurnalist-z-khersonshchini
"У Ковелі знайшли дідуся з Рівного, якого розшукували рідні","Ковельські патрульні попіклувалися про дідуся, який загубився в місті.","03 Січня 2023, 12:26",https://kowel.rayon.in.ua/news/563701-u-koveli-znayshli-didusya-z-rivnogo-yakogo-rozshukuvali-ridni
Ядерні навчання між США і Південною Кореєю: заява Байдена,"Сполучені Штати не обговорюють спільні ядерні навчання з Південною Кореєю, заявив президент Джо Байден у понеділок","03 Січня 2023, 12:20",https://zakordon.rayon.in.ua/news/563696-yaderni-navchannya-mizh-ssha-i-pivdennoyu-koreeyu-zayava-baydena
