Title,Description,Date,URL
«Той день обов'язково настане»: Ярослав Карпук з Волині переспівав з Вакарчуком та іншими зірками знаменитий хіт ОЕ,"Йому хотілось, “щоб для кожного українця вона резонувала саме з тим Днем на який ми всі очікуємо”.","Сьогодні, 13:33",https://www.volynpost.com/news/242955-toj-den-oboviazkovo-nastane-iaroslav-karpuk-z-volyni-perespivav-z-vakarchukom-ta-inshymy-zirkamy-znamenytyj-hit-oe
"Обстріл супермаркету на Донеччині: 2 загиблих, 17 поранених",Унаслідок цілеспрямованого обстрілу російськими військовими супермаркету в Костянтинівці на Донеччині уже щонайменше 2 загиблих та 17 поранених,"Сьогодні, 13:16",https://www.volynpost.com/news/242956-obstril-supermarketu-na-donechchyni-2-zagyblyh-17-poranenyh
Поліція затримала керівництво Полтавського гірничо-збагачувального комбінату,Поліцейські викрили голову правління та підлеглих Полтавського гірничо-збагачувального комбінату на легалізації майна в особливо великих розмірах,"Сьогодні, 13:00",https://www.volynpost.com/news/242954-policiia-zatrymala-kerivnyctvo-poltavskogo-girnycho-zbagachuvalnogo-kombinatu
Переправляли дроном наркотики: на Волині викрили організовану групу контрабандистів,Зловмисникам загрожує до 12 років увʼязнення з конфіскацією майна.,"Сьогодні, 12:38",https://www.volynpost.com/news/242953-perepravlialy-dronom-narkotyky-na-volyni-vykryly-organizovanu-grupu-kontrabandystiv
"Унаслідок ударів по аеродрому в Липецьку вразили склад зі 700 бомбами, - ЗМІ",На аеродромі перебували десятки літаків і вертольотів. Злетіти встигли не всі.,"Сьогодні, 12:30",https://www.volynpost.com/news/242952-unaslidok-udariv-po-aerodromu-v-lypecku-vrazyly-sklad-zi-700-bombamy-zmi
Опублікували фото волинських «богів війни» за роботою,Артилеристи волинської 100-ї окремої механізованої бригади – справжній жах для російських загарбників,"Сьогодні, 12:16",https://www.volynpost.com/news/242951-opublikuvaly-foto-volynskyh-bogiv-vijny-za-robotoyu
Бійці СБУ уразили ще один гелікоптер рф за допомогою дрона у Курській області,"Як зазначається, російський гелікоптер уразили бійці Центру спеціальних операцій «А» СБУ.","Сьогодні, 12:00",https://www.volynpost.com/news/242948-bijci-sbu-urazyly-sche-odyn-gelikopter-rf-za-dopomogoyu-drona-u-kurskij-oblasti
Лікарі врятували життя 14-денній дівчинці з Луцька,До Інституту серця МОЗ України швидкою медичною допомогою була госпіталізована маленька крихітка - 14-денна дівчинка з Луцька,"Сьогодні, 11:35",https://www.volynpost.com/news/242947-likari-vriatuvaly-zhyttia-14-dennij-divchynci-z-lucka
Подвійний агент здав агентку гру в Києві,СБУ затримала у Києві резидентку російського гру завдяки власному «подвійному агенту»,"Сьогодні, 11:09",https://www.volynpost.com/news/242946-podvijnyj-agent-zdav-agentku-gru-v-kyievi
У Луцьку компанія чоловіків розпивала алкоголь та влаштувала стрілянину,"Патрульні оперативно прибули на місце події та у дворі житлового будинку помітили групу осіб, які розпивали спиртні напої.","Сьогодні, 10:43",https://www.volynpost.com/news/242945-u-lucku-kompaniia-cholovikiv-rozpyvala-alkogol-ta-vlashtuvala-strilianynu
Найважчим залишається Покровський напрямок. ЗВЕДЕННЯ ГЕНШТАБУ,Протягом минулої доби зафіксовано 101 бойове зіткнення.,"Сьогодні, 10:10",https://www.volynpost.com/news/242944-najvazhchym-zalyshaietsia-pokrovskyj-napriamok-zvedennia-genshtabu
"Росія вночі зазнала масованої атаки дронами, з деяких сіл оголосили евакуацію","БпЛА вразили аеродром Липецька, склад боєприпасів та енергетичний об'єкт.","Сьогодні, 09:46",https://www.volynpost.com/news/242943-rosiia-vnochi-zaznala-masovanoi-ataky-dronamy-z-deiakyh-sil-ogolosyly-evakuaciyu
ППО збила всі 27 запущені росією ударні дрони,"Дрони знищили мобільні вогневі групи, зенітні ракетні підрозділи і засоби РЕБ.","Сьогодні, 09:03",https://www.volynpost.com/news/242942-ppo-zbyla-vsi-27-zapuscheni-rosiieyu-udarni-drony
"На Волині собака накинувся на жінку, яка їхала велосипедом на роботу","На місце події прибула поліція та швидка. Медики забрали жінку в лікарню, де наклали їй шви.","Сьогодні, 08:20",https://www.volynpost.com/news/242934-na-volyni-sobaka-nakynuvsia-na-zhinku-iaka-ihala-velosypedom-na-robotu
Жан Беленюк виборов для України ще одну медаль на Олімпіаді-2024,У поєдинку за третє місце у змаганнях із греко-римської боротьби українець здолав поляка Аркадіуша Кулініча.,"Сьогодні, 07:35",https://www.volynpost.com/news/242941-zhan-belenyuk-vyborov-dlia-ukrainy-sche-odnu-medal-na-olimpiadi-2024
"Які ціни на перець, баклажани та кабачки на луцькому ринку","Надворі серпень – пора кабачків, баклажанів та перцю.","Сьогодні, 07:12",https://www.volynpost.com/news/242932-iaki-ciny-na-perec-baklazhany-ta-kabachky-na-luckomu-rynku
"У Луцьку 10 художників презентували виставку, присвячену котам",Для виставки 10 луцьких художників створили 20 робіт.,"Сьогодні, 05:15",https://www.volynpost.com/news/242939-u-lucku-10-hudozhnykiv-prezentuvaly-vystavku-prysviachenu-kotam
Магнітні бурі: чого очікувати від сонячної активності 9-10 серпня,Найближчим часом очікується зниження сонячної активності.,"Сьогодні, 03:14",https://www.volynpost.com/news/242940-magnitni-buri-chogo-ochikuvaty-vid-soniachnoi-aktyvnosti-9-10-serpnia
У Луцьку стартував семиденний мистецький інклюзивний табір,8 серпня у Луцьку стартував мистецький інклюзивний табір для дітей та молодих людей з інвалідністю та без.,"Сьогодні, 01:30",https://www.volynpost.com/news/242931-u-lucku-startuvav-semydennyj-mysteckyj-inklyuzyvnyj-tabir
9 серпня на Волині: гортаючи календар,9 серпня - Всесвітній день книголюбів.,"Сьогодні, 00:00",https://www.volynpost.com/news/242937-9-serpnia-na-volyni-gortayuchy-kalendar
Україні загрожують перебої з хлібом,Ціни на борошно різко підскочили на 50% за два місяці літа і продовжують рости.,"08 серпень, 23:18",https://www.volynpost.com/news/242933-ukraini-zagrozhuyut-pereboi-z-hlibom
