Title,Description,Date,URL
,"У маковійчику обов’язково має бути мак, гортензія, любисток та чебрець, адже вони мають свою символіку.","31 липень, 23:17  Новини",https://www.volynpost.com/news/242623-skilky-u-lucku-koshtuie-buketyk-do-makoviia
,У Луцьку створять комунальну установу «ХАБ ВЕТЕРАН».,"31 липень, 22:43  Новини",https://www.volynpost.com/news/242622-u-lucku-stvoriat-novu-ustanovu--veteranskyj-hab
,Тарифи на послуги ЖЕКів необхідно піднімати.,"31 липень, 22:12  Новини",https://www.volynpost.com/news/242621-luckym-zhekam-zagrozhuie-bankrutstvo
,На війні з росією загинув воїн з Волині Юрій Шлапчук.,"31 липень, 21:44  Новини",https://www.volynpost.com/news/242620-na-donechchyni-zagynuv-geroj-z-volyni-yurij-shlapchuk
,"В ""Укренерго"" зробили заяву.","31 липень, 21:14  Новини",https://www.volynpost.com/news/242619-chy-vidklyuchatymut-1-serpnia-elektroenergiyu-na-volyni-podrobyci
,"Сьогодні, 31 липня, в Рожищенську громаду з зони бойових дій надійшла сумна звістка.","31 липень, 20:35  Новини",https://www.volynpost.com/news/242618-na-vijni-z-okupantamy-zagynuv-geroj-z-volyni-volodymyr-ohrymchuk
,У Луцьку буде без опадів.,"31 липень, 20:00  Новини",https://www.volynpost.com/news/242611-pogoda-v-lucku-ta-volynskij-oblasti-na-zavtra-1-serpnia
,Де і коли можна пройти тестування на вірусні гепатити,"31 липень, 19:10  Новини",https://www.volynpost.com/news/242605-na-volyni-mozhna-bezplatno-projty-testuvannia-na-virusni-gepatyty-de-i-koly
,"Джерела зазначають, що мобілізація поки що не призвела до суттєвого посилення українських сил на полі бою.","31 липень, 18:05  Новини",https://www.volynpost.com/news/242606-schomisiacia-ukraina-mobilizuie-do-30-tysiach-osib--nyt
,"Наземну ціль вистежили оператори безпілотників ударної групи ""Харон"".","31 липень, 17:00  Новини",https://www.volynpost.com/news/242617-voiny-volynskoi-brygady-znyschyly-rosijskyj-tank-zahovanyj-sered-derev
,Вічна пам'ять та шана Герою!,"31 липень, 16:30  Новини",https://www.volynpost.com/news/242616-na-sumschyni-pry-vykonanni-sluzhbovyh-oboviazkiv-zagynuv-geroj-z-volyni-dmytro-micevskyj
,Вічна шана та пам'ять Герою!,"31 липень, 16:00  Новини",https://www.volynpost.com/news/242614-zavtra-na-volyn-prybuvaie-skorbotnyj-kortezh-iz-zagyblym-geroiem-vasylem-kuzmychem
,Загалом було помічено щонайменше п'ять дронів-камікадзе.,"31 липень, 15:33  Новини",https://www.volynpost.com/news/242613-schonajmenshe-piat-shahediv-vnochi-zajshly-na-terytoriyu-bilorusi-odyn-z-nyh-proletiv-ponad-260-km--gayun
,Зловмиснику загрожує довічне позбавлення волі.,"31 липень, 15:05  Новини",https://www.volynpost.com/news/242612-zatrymaly-na-volyni-u-kyievi-cholovik-kilka-misiaciv-truiv-spivmeshkanku-zarady-ii-groshej-ta-avto
,Вічна пам'ять!,"31 липень, 14:50  Новини",https://www.volynpost.com/news/242610-pomerla-persha-dyrektorka-volynskoi-oblasnoi-biblioteky-dlia-yunactva-mariia-mah
,"Quantum Systems планує доставляти по 10 дронів Trinity кожних два тижні, доки не передасть всі 100 дронів.","31 липень, 14:20  Новини",https://www.volynpost.com/news/242609-klychko-peredav-prykordonnykam-pershu-partiyu-kartografichnyh-droniv-quantum-system
,"Вічна пам’ять, честь та шана Герою!","31 липень, 14:00  Новини",https://www.volynpost.com/news/242608-zavtra-u-lucku-proschatymutsia-z-geroiem-oleksiiem-cehoshem
,Йому загрожує довічне ув’язнення з конфіскацією майна.,"31 липень, 13:23  Новини",https://www.volynpost.com/news/242607-na-vinnychchyni-17-richnyj-hlopec-namagavsia-pidpalyty-budivlyu-tck-jomu-zagrozhuie-dovichne
,Підприємство оголосило на оновлення стели тендер на 391 тисячу гривень.,"31 липень, 13:00  Новини",https://www.volynpost.com/news/242604-u-lucku-vidremontuyut-fotostend-pamiati-zagyblyh-za-ukrainu
,"Обстеживши територію по проспекту Соборності, інспектори помітили громадян, які підпадали під орієнтування.","31 липень, 12:24  Новини",https://www.volynpost.com/news/242603-u-lucku-u-magazyni-v-11-richnogo-hlopchyka-vkraly-telefon-zlodiiv-rozshukaly
,Зловмисник розкладав згортки з наркотиками біля лісосмуги.,"31 липень, 12:20  Новини",https://www.volynpost.com/news/242602-hovav-zakladky-z-narkotykamy-19-richnogo-volynianyna-spijmaly-na-gariachomu
,За вчинення крадіжки в умовах воєнного стану волинянину загрожує до восьми років позбавлення волі.,"31 липень, 12:14  Новини",https://www.volynpost.com/news/242601-na-volyni-cholovik-pograbuvav-budynok-odnoselcia
