title,description,date,url
"Пам’ятати Героїв: у Луцьку визначили переможців волейбольного турніру, присвяченого загиблим воїнам. Фото","У Луцьку протягом трьох днів тривав ІІІ відкритий турнір Волинської області з волейболу серед юнаків, присвячений пам’яті воїнів, які загинули, захищаючи незалежність і суверенітет України. Загалом на турнірі, який проводили за сприяння Фонду Ігоря Палиці «Тільки разом» у Луцькому педагогічному коледжі, між собою змагалося дев’ять команд, але перемогу в напруженому фіналі здобули волейболісти з Волинського обласного ліцею з посиленою військово-фізичною підготовкою.",3 Березня 2023 16:04,https://www.volynnews.com/news/all/pamiataty-heroyiv-u-lutsku-vyznachyly-peremozhtsiv-voleybolnoho-turniru/
У луцькому парку оновлять атракціони,"Відділ управління майном міської комунальної власності Луцької міської ради 30 січня провів електронний аукціон з оренди майна, розташованого в Центральному парку культури та відпочинку імені Лесі Українки міста Луцька, а саме атракціонів: «Веселі гірки», «Орбіта», «Автодром», «Сюрприз», «Колесо огляду».",3 Березня 2023 15:47,https://www.volynnews.com/news/all/u-lutskomu-parku-onovliat-atraktsiony/
У РФ провели референдум за незалежність п'яти республік,"У п’яти російських регіонах відбулися онлайн-референдуми за відділення від Російської Федерації. Голосували за незалежність Кенігсберга (Калінінград і область), Інгрії (Санкт-Петербург і Ленінградська область), Кубані (Краснодарський край), Сибіру і Уралу.",3 Березня 2023 15:31,https://www.volynnews.com/news/all/u-rf-provely-referendum-za-nezalezhnist-piaty-respublik/
"Червоний Хрест забезпечує «гумдопомогою» окупантів у Маріупольському районі, – міськрада","Міжнародний Комітет Червоного Хреста забезпечує окупантів в тимчасово окупованому смт Мангуш Маріупольського району гуманітарною допомогою, зокрема технікою.",3 Березня 2023 15:15,https://www.volynnews.com/news/all/chervonyy-khrest-zabezpechuye-humdopomohoiu-okupantiv-u-mariupolskomu-rayoni-miskrada/
Посвята і знищення ворожої техніки: в артилеристів ТрО Волині тривають навчання,"За легендою навчань, бійці мали зупинити противника, який проривався вздовж замінованого кордону. Серед озброєння, яке мають артилеристи на Волині, – протитанкова гармата «Рапіра».",3 Березня 2023 14:59,https://www.volynnews.com/news/all/posviata-i-znyshchennia-vorozhoyi-tekhniky-v-artylerystiv-tro-volyni-tryvaiut-navchannia/
Оформлювали кредити на зниклих безвісти й полонених: в Україні викрили шахраїв,Для реалізації злочинної схеми зловмисники перевипускали SIM-карти й отримували доступ до онлайн-банкінгу. Далі оформлювали кредитні картки та привласнювали позики. Загальна сума збитків становить понад два мільйони гривень.,3 Березня 2023 14:42,https://www.volynnews.com/news/all/oformliuvaly-kredyty-na-znyklykh-bezvisty-y-polonenykh-v-ukrayini-vykryly-shakhrayiv/
Ексглава «Укрзалізниці» став позаштатним радником Зеленського,"Голова правління «Укрзалізниці» Олександр Камишін, який оголосив про свою відставку, отримав посаду позаштатного радника президента України Володимира Зеленського. 27 лютого 2023 року голова правління «Укрзалізниці» Камишін заявив про те, що йде у відставку.",3 Березня 2023 14:26,https://www.volynnews.com/news/all/ekshlava-ukrzaliznytsi-stav-pozashtatnym-radnykom-zelenskoho/
"«Волинські ліси нас оберігають», – прикордонник на псевдо Татар","До повномасштабного вторгнення Тарас був далекобійником. За п’ять років об'їздив чимало країн Європи. Однак усі шляхи, каже, ведуть додому – до рідної України, яку завжди готовий захищати.",3 Березня 2023 14:10,https://www.volynnews.com/news/all/volynski-lisy-nas-oberihaiut-prykordonnyk-na-psevdo-tatar/
Зеленський у Львові зустрівся з президентом Латвії та відвідав поранених військових,"Президент відвідав українських захисників, які лікуються в одному з медзакладів. Лікарі розповіли Зеленському, з якими травмами найчастіше потрапляють до них пацієнти та скільки часу потрібно на те, щоб вилікувати їх. Президент подякував за працю медикам.",3 Березня 2023 13:54,https://www.volynnews.com/news/all/zelenskyy-u-lvovi-zustrivsia-z-prezydentom-latviyi-ta-vidvidav-poranenykh-viyskovykh/
П’ять практичних порад щодо вибору вхідних дверей*,"Вхідні двері перш за все зустрічають власників та гостей дому, тому, звісно, вони мають справляти гарне враження, але, що важливіше, – зберігати тепло та гарантувати безпеку всіх мешканців. Очевидно, що вам не потрібні вироби, які важко відчиняються, пропускають холодне повітря, мають не надто надійний вигляд або при будь-якому фізичному зусиллі легко пошкоджуються.",3 Березня 2023 13:37,https://www.volynnews.com/news/all/piat-praktychnykh-porad-shchodo-vyboru-vkhidnykh-dverey/
